#
# File created on Mon Dec 29 07:48:51 UTC 2025
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
sys_rstn_reg/C,flt_inst/addrr_reg[9]/R,max,2.750,2,2
flt_inst/v_line_cnt_reg[8]/C,flt_inst/data1_idx_reg[2]/D,max,2.754,4,4
flt_inst/addrr_reg[9]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRBWRADDR[13],min,0.099,0,0
flt_inst/addrr_reg[9]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRBWRADDR[13],min,0.099,0,0
flt_inst/addrw_reg[8]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRARDADDR[12],min,0.104,0,0
flt_inst/addrw_reg[8]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRARDADDR[12],min,0.104,0,0
flt_inst/addrr_reg[2]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRBWRADDR[6],min,0.111,0,0
flt_inst/addrr_reg[2]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRBWRADDR[6],min,0.111,0,0
flt_inst/we_reg[2]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/ENARDEN,min,0.112,0,0
flt_inst/axis_tdata_buf2_reg[0]/C,flt_inst/h_data_reg[1][16]/D,min,0.113,1,1
flt_inst/axis_tdata_buf2_reg[2]/C,flt_inst/h_data_reg[1][18]/D,min,0.113,1,1
flt_inst/addrw_reg[6]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRARDADDR[10],min,0.113,0,0
flt_inst/addrw_reg[6]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRARDADDR[10],min,0.113,0,0
flt_inst/h_line_cnt_reg[1]/C,flt_inst/h_line_cnt_reg[2]/D,min,0.128,1,1
flt_inst/we_wr_idx_reg[1]/C,flt_inst/we_reg[2]/D,min,0.128,1,1
flt_inst/addrr_reg[7]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRBWRADDR[11],min,0.128,0,0
flt_inst/addrr_reg[7]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRBWRADDR[11],min,0.128,0,0
flt_inst/h_line_cnt_reg[1]/C,flt_inst/h_line_cnt_reg[4]/D,min,0.129,1,1
flt_inst/addrw_reg[7]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ADDRARDADDR[11],min,0.132,0,0
flt_inst/addrw_reg[7]/C,flt_inst/mem_gen[3].data_buf/mem_r_reg/ADDRARDADDR[11],min,0.132,0,0
flt_inst/addrr_reg[6]/C,flt_inst/mem_gen[1].data_buf/mem_r_reg/ADDRBWRADDR[10],min,0.132,0,0
flt_inst/addrr_reg[6]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/ADDRBWRADDR[10],min,0.132,0,0
flt_inst/v_fsm_reg[2]/C,flt_inst/v_start_out_reg/D,min,0.136,1,1
flt_inst/addrw_reg[0]/C,flt_inst/mem_gen[1].data_buf/mem_r_reg/ADDRARDADDR[4],min,0.138,0,0
flt_inst/addrw_reg[0]/C,flt_inst/mem_gen[2].data_buf/mem_r_reg/ADDRARDADDR[4],min,0.138,0,0
flt_inst/we_reg[0]/C,flt_inst/mem_gen[0].data_buf/mem_r_reg/ENARDEN,min,0.143,0,0
